대분류,중분류,Custom,EN,소분류,1회제공량(g),칼로리(kcal),kcal per g,folder_name,class,탄수화물,단백질,지방,당 (총당류),,,,,
조림류,육류조림,육류,meat,돼지고기메추리알장조림,50,63.49,1.27,09013001,09,3.37,8.34,1.85,1.27,50.00,3.37,8.34,1.85,1.27
조림류,육류조림,육류,meat,소고기메추리알장조림,50,60.65,1.21,09013002,09,2.88,8.14,1.84,0.72,50.00,2.88,8.14,1.84,0.72
조림류,채소류조림,채소류,vegetable,고추조림,100,111,1.11,09014001,09,13.40,3.30,4.90,7.10,100.00,13.4,3.3,4.9,7.1
조림류,채소류조림,채소류,vegetable,감자조림,50,56.79,1.14,09014002,09,9.05,1.20,1.76,3.84,50.00,9.05,1.2,1.76,3.84
조림류,채소류조림,채소류,vegetable,우엉조림,30,56.54,1.88,09014003,09,10.44,1.44,1.00,8.53,30.00,10.44,1.44,1,8.53
조림류,채소류조림,채소류,vegetable,알감자조림,50,56.79,1.14,09014004,09,9.05,1.20,1.76,3.84,50.00,9.05,1.2,1.76,3.84
조림류,두류조림,채소류,vegetable,(검은)콩조림,20,54,2.7,09015001,09,6.97,3.59,1.55,0.71,30.00,4.65,2.39,1.03,0.47
조림류,두류조림,채소류,vegetable,두부고추장조림,50,71.55,1.43,09015003,09,2.20,4.82,4.83,1.82,50.00,2.2,4.82,4.83,1.82
조림류,기타,채소류,vegetable,땅콩조림,20,96.62,4.83,09016001,09,3.99,3.75,7.28,1.97,20.00,3.99,3.75,7.28,1.97
튀김류,어패류튀김,튀김류,fried,미꾸라지튀김,100,387.49,3.87,10011001,10,28.86,10.89,25.39,0.30,100.00,28.86,10.89,25.39,0.3
튀김류,어패류튀김,튀김류,fried,새우튀김,100,301,3.01,10011002,10,18.96,17.01,15.89,0.09,150.00,12.64,11.34,10.59,0.06
튀김류,어패류튀김,튀김류,fried,생선가스,200,653.44,3.27,10011003,10,46.56,24.33,41.10,1.96,200.00,46.56,24.33,41.1,1.96
튀김류,어패류튀김,튀김류,fried,쥐포튀김,100,356.91,3.57,10011004,10,42.50,9.62,16.49,7.96,100.00,42.5,9.62,16.49,7.96
튀김류,어패류튀김,튀김류,fried,오징어튀김,100,308,3.08,10011005,10,22.43,12.37,21.99,0.33,150.00,14.95,8.25,14.66,0.22
튀김류,육류튀김,튀김류,fried,닭강정,200,450.09,2.25,10012001,10,45.04,23.68,19.47,7.95,200.00,45.04,23.68,19.47,7.95
튀김류,육류튀김,튀김류,fried,닭튀김,300,903,3.01,10012002,10,48.80,65.20,49.70,1.50,300.00,48.8,65.2,49.7,1.5
튀김류,육류튀김,튀김류,fried,돈가스,30,26.46,0.88,10012003,10,2.02,1.28,1.48,0.00,30.00,2.02,1.28,1.48,0
튀김류,육류튀김,튀김류,fried,모래집튀김,150,468.37,3.12,10012004,10,29.10,28.10,26.60,1.80,150.00,29.1,28.1,26.6,1.8
튀김류,육류튀김,튀김류,fried,양념치킨,200,552,2.76,10012005,10,42.30,35.50,26.80,12.50,200.00,42.3,35.5,26.8,12.5
